Symbol,Name,Exchange
000001.XSHE,PING AN BANK,Shenzhen
000002.XSHE,CHINA VANKE,Shenzhen
000006.XSHE,SHENZHEN ZHENYE,Shenzhen
000008.XSHE,CHINA HIGH-SPEED RAILWAY TECHNOLOGY,Shenzhen
000009.XSHE,CHINA BAOAN GROUP,Shenzhen
000011.XSHE,SHENZHEN PROPERTIES & RESOURCES DEV,Shenzhen
000012.XSHE,CSG HOLDING,Shenzhen
000016.XSHE,KONKA GROUP,Shenzhen
000019.XSHE,SHENZHEN CEREALS HOLDINGS,Shenzhen
000021.XSHE,SHENZHEN KAIFA TECHNOLOGY,Shenzhen
000025.XSHE,SHENZHEN TELLUS HOLDING,Shenzhen
000026.XSHE,FIYTA PRECISION TECHNOLOGY,Shenzhen
000027.XSHE,SHENZHEN ENERGY GROUP,Shenzhen
000028.XSHE,CHINA NATIONAL ACCORD MEDICINES CORP,Shenzhen
000029.XSHE,SHENZHEN SPECIAL ECONOMIC ZONE REAL EST,Shenzhen
000030.XSHE,FAWER AUTOMOTIVE PARTS,Shenzhen
000031.XSHE,GRANDJOY HOLDINGS GROUP,Shenzhen
000032.XSHE,SHENZHEN SED INDUSTRY,Shenzhen
000034.XSHE,DIGITAL CHINA GROUP,Shenzhen
000035.XSHE,CHINA TIANYING INC,Shenzhen
000036.XSHE,CHINA UNION HOLDINGS,Shenzhen
000039.XSHE,CHINA INTERNATIONAL MARINE CONTAINERS,Shenzhen
000042.XSHE,SHENZHEN CENTRALCON INVESTMENT HOLDING,Shenzhen
000045.XSHE,SHENZHEN TEXTILE (HOLDINGS),Shenzhen
000048.XSHE,SHENZHEN KINGKEY SMART AGRICULTURE TIME,Shenzhen
000049.XSHE,SHENZHEN DESAY BATTERY TECHNOLOGY,Shenzhen
000050.XSHE,TIANMA MICROELECTRONICS,Shenzhen
000058.XSHE,SHENZHEN SEG,Shenzhen
000059.XSHE,NORTH HUAJIN CHEMICAL INDUSTRIES,Shenzhen
000060.XSHE,SHENZHEN ZHONGJIN LINGNAN NONFEMET,Shenzhen
000061.XSHE,SHENZHEN AGRICULTURAL POWER GROUP,Shenzhen
000062.XSHE,SHENZHEN HUAQIANG INDUSTRY,Shenzhen
000063.XSHE,ZTE CORPORATION,Shenzhen
000065.XSHE,NORINCO INTERNATIONAL COOPERATION,Shenzhen
000066.XSHE,CHINA GREATWALL TECHNOLOGY GROUP,Shenzhen
000069.XSHE,SHENZHEN OVERSEAS CHINESE TOWN,Shenzhen
000070.XSHE,SHENZHEN SDG INFORMATION,Shenzhen
000078.XSHE,SHENZHEN NEPTUNUS BIOENGINEERING,Shenzhen
000088.XSHE,SHENZHEN YAN TIAN PORT HOLDINGS,Shenzhen
000089.XSHE,SHENZHEN AIRPORT,Shenzhen
000090.XSHE,SHENZHEN TAGEN GROUP,Shenzhen
000096.XSHE,SHENZHEN GUANGJU ENERGY,Shenzhen
000099.XSHE,CITIC OFFSHORE HELICOPTER,Shenzhen
000100.XSHE,TCL TECHNOLOGY GROUP CORPORATION,Shenzhen
000155.XSHE,SICHUAN NEW ENERGY POWER,Shenzhen
000156.XSHE,WASU MEDIA HOLDING,Shenzhen
000157.XSHE,ZOOMLION HEAVY INDUSTRY SCI AND TECH,Shenzhen
000158.XSHE,SHIJIAZHUANG CHANGSHAN BEIMING TECH,Shenzhen
000166.XSHE,SHENWAN HONGYUAN GROUP,Shenzhen
000301.XSHE,JIANGSU EASTERN SHENGHONG,Shenzhen
000333.XSHE,MIDEA GROUP,Shenzhen
000338.XSHE,WEICHAI POWER,Shenzhen
000400.XSHE,XJ ELECTRIC,Shenzhen
000401.XSHE,BBMG JIDONG CEMENT GROUP,Shenzhen
000402.XSHE,FINANCIAL STREET HOLDINGS,Shenzhen
000403.XSHE,PACIFIC SHUANGLIN BIO-PHARMACY,Shenzhen
000404.XSHE,CHANGHONG HUAYI COMPRESSOR,Shenzhen
000408.XSHE,ZANGGE MINING,Shenzhen
000409.XSHE,YUNDING TECHNOLOGY,Shenzhen
000410.XSHE,SHENYANG MACHINE TOOL,Shenzhen
000411.XSHE,ZHEJIANG INT'L GROUP,Shenzhen
000415.XSHE,BOHAI LEASING,Shenzhen
000420.XSHE,JILIN CHEMICAL FIBRE,Shenzhen
000422.XSHE,HUBEI YIHUA CHEMICAL INDUSTRY,Shenzhen
000423.XSHE,DONG-E-E-JIAO,Shenzhen
000425.XSHE,XCMG CONSTRUCTION MACHINERY,Shenzhen
000426.XSHE,INNER MONGOLIA XINGYE SILVER&TIN MINING,Shenzhen
000429.XSHE,GUANGDONG PROVINCIAL EXPRESSWAY DEV,Shenzhen
000498.XSHE,SHANDONG HI-SPEED ROAD&BRIDGE GROUP,Shenzhen
000501.XSHE,WUSHANG GROUP,Shenzhen
000503.XSHE,CHINA REFORM HEALTH MANAGEMENT&SERVICES,Shenzhen
000506.XSHE,ZHAOJIN INTERNATIONAL GOLD,Shenzhen
000507.XSHE,ZHUHAI PORT,Shenzhen
000513.XSHE,LIVZON PHARMACEUTICAL GROUP INC,Shenzhen
000516.XSHE,XI'AN INTERNATIONAL MEDICAL INV,Shenzhen
000517.XSHE,RONGAN PROPERTY,Shenzhen
000519.XSHE,NORTH INDUSTRIES GROUP RED ARROW,Shenzhen
000521.XSHE,CHANGHONG MEILING,Shenzhen
000523.XSHE,HONGMIAN ZHIHUI SCIENCE AND TECH INNOV,Shenzhen
000524.XSHE,GUANGZHOU LINGNAN GROUP HOLDINGS,Shenzhen
000525.XSHE,NANJING RED SUN,Shenzhen
000526.XSHE,XUEDA (XIAMEN) EDUCATION TECHNOLOGY GP,Shenzhen
000528.XSHE,GUANGXI LIUGONG MACHINERY,Shenzhen
000531.XSHE,GUANGZHOU HENGYUN ENTERPRISES HOLDING,Shenzhen
000532.XSHE,ZHUHAI HUAJIN CAPITAL,Shenzhen
000533.XSHE,GUANGDONG SHUNNA ELECTRIC,Shenzhen
000534.XSHE,WEDGE INDUSTRIAL,Shenzhen
000536.XSHE,HUA YING TECHNOLOGY (GROUP),Shenzhen
000537.XSHE,GREEN DEVELOPMENT ELEC GP OF TIANJIN,Shenzhen
000538.XSHE,YUNNAN BAIYAO GROUP,Shenzhen
000539.XSHE,GUANGDONG ELECTRIC POWER DEVELOPMENT,Shenzhen
000541.XSHE,FOSHAN ELECTRICAL AND LIGHTING,Shenzhen
000543.XSHE,AN HUI WENERGY,Shenzhen
000544.XSHE,ZHONGYUAN ENVIRONMENTAL PROTECTION,Shenzhen
000547.XSHE,ADDSINO,Shenzhen
000550.XSHE,JIANGLING MOTORS,Shenzhen
000551.XSHE,CREATE TECHNOLOGY & SCIENCE,Shenzhen
000552.XSHE,GANSU ENERGY CHEMICAL,Shenzhen
000553.XSHE,ADAMA,Shenzhen
000555.XSHE,DIGITAL CHINA INFORMATION SERVICE GROUP,Shenzhen
000557.XSHE,NINGXIA WESTERN VENTURE INDUSTRIAL,Shenzhen
000558.XSHE,CHENGDU NEW TIANFU CULTURE TOURISM DEV,Shenzhen
000559.XSHE,WANXIANG QIANCHAO,Shenzhen
000560.XSHE,5I5J HOLDING GROUP,Shenzhen
000561.XSHE,SHAANXI FENGHUO ELECTRONICS,Shenzhen
000563.XSHE,SHAANXI INTERNATIONAL TRUST,Shenzhen
000564.XSHE,CCOOP GROUP,Shenzhen
000566.XSHE,HAINAN HAIYAO,Shenzhen
000567.XSHE,HAINAN HAIDE CAPITAL MANAGEMENT,Shenzhen
000568.XSHE,LUZHOU LAOJIAO,Shenzhen
000572.XSHE,HAIMA AUTOMOBILE,Shenzhen
000581.XSHE,WEIFU HIGH-TECHNOLOGY GROUP,Shenzhen
000582.XSHE,BEIBU GULF PORT,Shenzhen
000589.XSHE,GUI ZHOU TYRE,Shenzhen
000591.XSHE,CECEP SOLAR ENERGY,Shenzhen
000592.XSHE,ZHONGFU STRAITS PINGTAN DEVELOPMENT,Shenzhen
000596.XSHE,ANHUI GUJING DISTILLERY,Shenzhen
000597.XSHE,NORTHEAST PHARMACEUTICAL GROUP,Shenzhen
000598.XSHE,CHENGDU XINGRONG ENVIRONMENT,Shenzhen
000600.XSHE,HCIG ENERGY INVESTMENT,Shenzhen
000601.XSHE,GUANGDONG SHAONENG GROUP,Shenzhen
000603.XSHE,SHENGDA RESOURCES,Shenzhen
000612.XSHE,JIAOZUO WANFANG ALUMINUM MANUFACTURING,Shenzhen
000617.XSHE,CNPC CAPITAL,Shenzhen
000620.XSHE,WINNOVATION CULTURALTAINMENT DEV,Shenzhen
000623.XSHE,JILIN AODONG PHARMACEUTICAL GROUP,Shenzhen
000625.XSHE,CHONGQING CHANGAN AUTOMOBILE,Shenzhen
000628.XSHE,CHENGDU HI-TECH DEVELOPMENT GROUP,Shenzhen
000629.XSHE,PANGANG GP VANADIUM TITANIUM&RESOURCES,Shenzhen
000630.XSHE,TONGLING NONFERROUS METALS GROUP,Shenzhen
000631.XSHE,SHUNFA HENGNENG,Shenzhen
000636.XSHE,GUANGDONG FENGHUA ADVANCED TECHNOLOGY,Shenzhen
000650.XSHE,RENHE PHARMACY,Shenzhen
000651.XSHE,GREE ELECTRIC APPLIANCES INC OF ZHUHAI,Shenzhen
000652.XSHE,TIANJIN TEDA RESOURCES RECYCLING GROUP,Shenzhen
000655.XSHE,SHANDONG JINLING MINING,Shenzhen
000657.XSHE,CHINA TUNGSTEN AND HIGHTECH MATERALS,Shenzhen
000661.XSHE,CHANGCHUN HIGH-TECH INDUSTRY (GROUP),Shenzhen
000665.XSHE,HUBEI RADIO AND TELEVISION INFO NETWORK,Shenzhen
000670.XSHE,INFOTMIC,Shenzhen
000672.XSHE,GANSU SHANGFENG CEMENT,Shenzhen
000676.XSHE,GENIMOUS TECHNOLOGY,Shenzhen
000678.XSHE,XIANGYANG AUTOMOBILE BEARING,Shenzhen
000680.XSHE,SHANTUI CONSTRUCTION MACHINERY,Shenzhen
000681.XSHE,VISUAL CHINA GROUP,Shenzhen
000682.XSHE,DONGFANG ELECTRONICS,Shenzhen
000683.XSHE,INNER MONGOLIA BERUN CHEMICAL,Shenzhen
000685.XSHE,ZHONGSHAN PUBLIC UTILITIES GROUP,Shenzhen
000686.XSHE,NORTHEAST SECURITIES,Shenzhen
000688.XSHE,GUOCHENG MINING,Shenzhen
000690.XSHE,GUANGDONG BAOLIHUA NEW ENERGY STOCK,Shenzhen
000700.XSHE,JIANGNAN MOULD AND PLASTIC TECHNOLOGY,Shenzhen
000703.XSHE,HENGYI PETROCHEMICAL,Shenzhen
000708.XSHE,CITIC PACIFIC SPECIAL STEEL GROUP,Shenzhen
000709.XSHE,HBIS,Shenzhen
000712.XSHE,GUANGDONG GOLDEN DRAGON DEVELOPMENT INC,Shenzhen
000716.XSHE,NANFANG BLACK SESAME GROUP,Shenzhen
000717.XSHE,GUANGDONG ZHONGNAN IRON & STEEL,Shenzhen
000718.XSHE,SUNING UNIVERSAL,Shenzhen
000719.XSHE,CENTRAL CHINA LAND MEDIA,Shenzhen
000721.XSHE,XI'AN CATERING,Shenzhen
000722.XSHE,HUNAN ENERGY GROUP DEVELOPMENT,Shenzhen
000723.XSHE,SHANXI MEIJIN ENERGY,Shenzhen
000725.XSHE,BOE TECHNOLOGY GROUP,Shenzhen
000727.XSHE,TPV TECHNOLOGY,Shenzhen
000728.XSHE,GUOYUAN SECURITIES,Shenzhen
000729.XSHE,BEIJING YANJING BREWERY,Shenzhen
000733.XSHE,CHINA ZHENHUA(GROUP) SCIENCE&TECHNOLOGY,Shenzhen
000735.XSHE,LUONIUSHAN,Shenzhen
000737.XSHE,NORTH COPPER,Shenzhen
000738.XSHE,AECC AERO-ENGINE CONTROL,Shenzhen
000739.XSHE,APELOA PHARMACEUTICAL,Shenzhen
000750.XSHE,SEALAND SECURITIES,Shenzhen
000751.XSHE,HULUDAO ZINC INDUSTRY,Shenzhen
000753.XSHE,FUJIAN ZHANGZHOU DEVELOPMENT,Shenzhen
